Data;Hora;Irradiacao
15072019;5;0
15072019;6;0
15072019;7;0
15072019;8;0
15072019;9;0
15072019;10;29.57
15072019;11;308.3
15072019;12;893.2
15072019;13;1811
15072019;14;2443
15072019;15;3051
15072019;16;3104
15072019;17;2956
15072019;18;2409
15072019;19;1711
15072019;20;484.8
15072019;21;126.8
15072019;22;26.79
15072019;23;0.441
16072019;0;0.027
16072019;1;0.027
16072019;2;0
16072019;3;0
16072019;4;0
16072019;5;0
16072019;6;0
16072019;7;0
16072019;8;0
16072019;9;0
16072019;10;28.61
16072019;11;316.6
16072019;12;853.3
16072019;13;1714
16072019;14;1926
16072019;15;2856
16072019;16;2332
16072019;17;2395
16072019;18;759.8
16072019;19;587.5
16072019;20;831.9
16072019;21;254.7
16072019;22;29.6
16072019;23;6.091
17072019;0;2.457
17072019;1;1.541
17072019;2;0.738
17072019;3;0.636
17072019;4;0.071
17072019;5;0.268
17072019;6;0.055
17072019;7;0
17072019;8;0
17072019;9;0.062
17072019;10;44.02
17072019;11;270.1
17072019;12;606.7
17072019;13;1432
17072019;14;1873
17072019;15;2488
17072019;16;2087
17072019;17;1697
17072019;18;1725
17072019;19;658
17072019;20;195.2
17072019;21;96.89
17072019;22;10.22
17072019;23;5.373
18072019;0;3.156
18072019;1;2.032
18072019;2;1.799
18072019;3;1.546
18072019;4;0.39
18072019;5;0.411
18072019;6;0
18072019;7;0.015
18072019;8;0.012
18072019;9;0.003
18072019;10;32.67
18072019;11;295.2
18072019;12;757.1
18072019;13;1802
18072019;14;1726
18072019;15;1219
18072019;16;941.4
18072019;17;1365
18072019;18;1517
18072019;19;527.8
18072019;20;124.5
18072019;21;20.8
18072019;22;6.432
18072019;23;2.669
19072019;0;1.311
19072019;1;1.525
19072019;2;1.127
19072019;3;0.308
19072019;4;0.366
19072019;5;0.313
19072019;6;0.047
19072019;7;0.341
19072019;8;0
19072019;9;0
19072019;10;31.01
19072019;11;250.5
19072019;12;709.4
19072019;13;1166
19072019;14;2223
19072019;15;3075
19072019;16;3435
19072019;17;2866
19072019;18;2048
19072019;19;1097
19072019;20;1117
19072019;21;286.9
19072019;22;15.51
19072019;23;3.716
20072019;0;1.413
20072019;1;0
20072019;2;0.246
20072019;3;0.224
